WCRNUMBER,LEGACYLOGNUMBER,REGIONOFFICE,COUNTYNAME,LOCALPERMITAGENCY,PERMITDATE,PERMITNUMBER,OWNERASSIGNEDWELLNUMBER,WELLLOCATION,CITY,PLANNEDUSEFORMERUSE,DRILLERNAME,DRILLERLICENSENUMBER,RECORDTYPE,DECIMALLATITUDE,DECIMALLONGITUDE,METHODOFDETERMINATIONLL,LLACCURACY,HORIZONTALDATUM,GROUNDSURFACEELEVATION,ELEVATIONACCURACY,ELEVATIONDETERMINATIONMETHOD,VERTICALDATUM,TOWNSHIP,RANGE,SECTION,BASELINEMERIDIAN,APN,DATEWORKENDED,WORKFLOWSTATUS,RECEIVEDDATE,TOTALDRILLDEPTH,TOTALCOMPLETEDDEPTH,TOPOFPERFORATEDINTERVAL,BOTTOMOFPERFORATEDINTERVAL,CASINGDIAMETER,DRILLINGMETHOD,FLUID,STATICWATERLEVEL,TOTALDRAWDOWN,TESTTYPE,PUMPTESTLENGTH,WELLYIELD,WELLYIELDUNITOFMEASURE,OTHEROBSERVATIONS,COLOR
WCR2017-004179,,DWR Southern Region Office,Santa Barbara,Santa Barbara County Environmental Health Services,2/13/15,SR 0109203,1,1610 E Mountain DR,Santa Barbara,Water Supply Domestic,ABUNDANT WATER WELLS,981850,WellCompletion/New/Production or Monitoring/NA,34.4481344,-119.6246536,,,WGS84,,,,,04N,26W,8,San Bernardino,,2/3/15,Completeness Review - Complete - 09-OCT-17,9/7/17,615,580,150,550,,Downhole Hammer,Foam,,,,,,,,pink
WCR2017-004597,,DWR Southern Region Office,Santa Barbara,Santa Barbara County Environmental Health Services,11/9/16,1723,4,949 Toro Canyon RD,Santa Barbara,Water Supply Domestic,SAR CONSTRUCTION,584595,WellCompletion/New/Production or Monitoring/NA,34.452287,-119.561809,,,WGS84,1369,Unknown,Digital Aerial Photo,,04N,26W,1,San Bernardino,155-020-004,6/13/17,Completeness Review - Complete - 08-NOV-17,9/27/17,920,888,168,888,,Direct Rotary,Bentonite,189.1,87.8,Pump,24,40,GPM,,darkgreen
WCR2013-009127,e0185745,DWR Southern Region Office,Santa Barbara,Santa Barbara County Environmental Health Services,,,1,5750 Stagecoach Road,Santa Barbara,Water Supply Domestic,Cascade Well & Pump Compa Cascade Well & Pump Company,496704,WellCompletion/New/Production or Monitoring/NA,34.52897,-119.83436,Derived from TRS,Centroid of Section,,,,,,05N,28W,8,San Bernardino,153-010-015,6/14/13,,,,487,127,487,6,Direct Rotary,Not Available at Conversion,,,,,34,GPM,,orange
WCR2012-008386,e0163165,DWR Southern Region Office,Santa Barbara,Santa Barbara County Environmental Health Services,,,1,2910 Sycamore Canyon Road,Santa Barbara,Water Supply Domestic,Cascade Well & Pump Compa Cascade Well & Pump Company,496704,WellCompletion/New/Production or Monitoring/NA,34.42884,-119.64592,Derived from TRS,Centroid of Section,,,,,,04N,26W,18,San Bernardino,009-021-030,9/25/12,,,,580,200,580,6,Direct Rotary,Not Available at Conversion,144,,,,85,GPM,,beige
WCR2017-000731,,DWR Southern Region Office,Santa Barbara,Santa Barbara County Environmental Health Services,9/30/16,BLD2016-02137,1,1545 W Mountain DR,Santa Barbara,Water Supply Domestic,SAR CONSTRUCTION,584595,WellCompletion/New/Production or Monitoring/NA,34.4562,-119.6776,GPS,Unknown,WGS84,819,Unknown,Digital Aerial Photo,,04N,27W,2,San Bernardino,021-050-045,12/13/16,Completeness Review - Complete - 16-MAR-17,3/7/17,645,640,160,640,,Direct Rotary,Bentonite,233,155,Pump,24,7,GPM,,lightgreen
WCR2021-001458,961796,DWR Southern Region Office,Santa Barbara,Santa Barbara County Environmental Health Services,,SR0109091,Lonson #1,4036 Foothill RD,Santa Barbara,Water Supply Domestic,Sierra Exploration Drilling Co. Inc.,327073,WellCompletion/New/Production or Monitoring/NA,34.4224083,-119.53305,Other,>50 Ft,WGS84,,,,,04N,25W,18,San Bernardino,155-170-041,12/30/14,Completeness Review - Complete - 04-FEB-21,,350,340,140,340,8.75,Direct Rotary,Air,53,,Air Lift,4,50,GPM,,cadetblue
WCR2016-000103,e0280073,DWR Southern Region Office,Santa Barbara,Santa Barbara County Environmental Health Services,3/24/15,472,,4500 Highway 154,Santa Barbara,Water Supply Domestic,FILIPPONI-THOMPSON DRILLING INC,432680,WellCompletion/New/Production or Monitoring/NA,34.5428611,-119.8943611,,,WGS84,,,,,05N,29W,2,San Bernardino,079-030-021,8/17/15,Completeness Review - Complete - 11-FEB-16,12/8/15,520,490,90,490,5,Direct Rotary,Bentonite,101,,Air Lift,6,40,GPM,,pink
WCR2015-002524,e0266802,DWR Southern Region Office,Santa Barbara,Santa Barbara County Environmental Health Services,,,,880 Pichacho Lane,Santa Barbara,Water Supply Domestic,Filipponi & Thompson Dril Filipponi & Thompson Drilling,432680,WellCompletion/New/Production or Monitoring/NA,34.44304,-119.62909,Derived from TRS,Centroid of Section,,,,,,04N,26W,8,San Bernardino,011-100-063,1/8/15,,,,998,138,998,5,Direct Rotary,Not Available at Conversion,180,,,,30,GPM,,pink
WCR2013-009125,e0190571,DWR Southern Region Office,Santa Barbara,Santa Barbara County Environmental Health Services,,,1,2349 E Valley Road,Santa Barbara,Water Supply Domestic,Cascade Well & Pump Compa Cascade Well & Pump Company,496704,WellCompletion/New/Production or Monitoring/NA,34.4291,-119.59181,Derived from TRS,Centroid of Section,,,,,,04N,26W,15,San Bernardino,005-020-044,9/21/13,,,,680,160,680,6,,,109,,,,70,GPM,,orange
WCR2019-017460,,DWR Southern Region Office,Santa Barbara,Santa Barbara County Environmental Health Services,6/18/18,2873,,2615 Sycamore Canyon Rd,Santa Barbara,Water Supply Domestic,CASCADE WELL CO,496704,WellCompletion/Destruction/NA/NA,34.4383556,-119.6478444,Other,>50 Ft,WGS84,,,,,04N,26W,7,San Bernardino,11120029,6/20/18,Completeness Review - Complete - 02-JAN-20,12/12/19,,,,,,,,,,,,,,,darkpurple
